438,418,417,423,410,436,426,444,421,444,431,437,419,433,420,423,428,430,444,431,438,409,448,430,421,430,422,431,454,450,411,445,440,442,432,414,405,446,443,438,432,450,433,402,454,435,415,420,440,426,441,448,459,431,443,432,451,425,423,429,412,412,435,430,418,430,445,422,421,432,431,409,432,448,407,427,416,432,448,436,412,405,438,423,439,435,428,449,442,405,410,433,442,434,432,424,428,419,436,413
3.506,5.4432,4.3015,3.3949,-0.48019,6.5853,4.8592,3.3488,-6.6146,4.0392,8.2304,1.118,-3.4505,-0.61413,-3.5431,-7.5125,-3.289,0.41516,-0.83376,5.0267,-5.5301,-0.41258,7.5349,0.6503,-1.2481,6.5543,4.4854,1.3979,-5.4212,-2.3527,0.033592,-1.7054,-5.5801,-7.5207,3.0913,0.13566,-0.065891,-5.2877,0.1826,0.66279,4.8695,-6.9212,2.1038,-9.3613,2.1977,4.8299,1.0857,2.7442,0.15245,-2.6684,-0.3863,6.3971,-3.1391,-4.2717,3.0939,-8.2481,5.854,-0.22696,-3.0969,0.92033,-0.45306,-3.618,-4.0805,2.0564,6.9569,0.083549,0.68389,0.51335,4.3764,-0.71404,3.1654,8.003,-8.242,-1.3618,-2.1964,-1.6486,0.96425,-2.2321,-2.4078,0.88544,5.9526,6.7506,3.196,-5.4548,1.3816,0.14126,3.3816,3.2709,-2.2382,1.6942,0.43583,0.78381,-2.7291,7.2817,-11.66,-1.2459,-1.9686,0.72481,2.9109,-0.29716
11845,15180,8080,16203,2958,16863,15360,9486,11362,9306,7545,12360,5467,8126,3556,8910,6036,5090,8823,8670,5412,3556,8272,15660,14790,4590,12550,5874,11362,9291,8534,8636,12688,12125,11330,12525,9018,11880,6409,8415,4980,20244,5140,6565,18396,9144,21420,5988,5489,9253,12740,15420,18506,8856,8112,7856,19342,17982,11712,19055,6461,9329,10280,14476,16120,5599,3048,6024,8240,7000,11616,9234,6396,11952,5544,8838,4527,9367,5434,16064,10395,10731,9900,9196,12575,16288,17136,14674,4401,5090,13234,11154,20582,6682,13804,9462,8568,8096,6888,7395
23,30,16,33,6,33,30,18,23,18,15,24,11,17,7,18,12,10,17,17,11,7,16,30,30,9,25,11,23,19,17,17,26,25,22,25,18,24,13,17,10,42,10,13,36,18,42,12,11,19,26,30,38,18,16,16,38,37,24,37,13,19,20,28,31,11,6,12,16,14,24,18,13,24,11,18,9,19,11,32,21,21,20,19,25,32,34,29,9,10,26,22,41,13,28,19,17,16,14,15
-5,-50,25,-243,34,-67,-96,-35,-122,17,-34,-52,31,23,19,44,60,15,-23,30,36,37,-44,-92,-124,20,-112,-30,-87,-44,30,3,-94,-106,-90,-61,19,13,0,62,23,-210,20,5,-296,6,-67,29,5,-12,1,-24,-280,22,-7,-8,9,-133,-17,-189,46,3,-127,-53,-93,21,25,32,10,-17,-36,-24,7,-48,9,-22,19,53,32,-45,-10,-6,-9,-47,-8,-154,76,-163,46,12,34,-33,-107,35,-105,6,42,20,18,-3
36741,48298,38365,37621,25576,42773,27392,39723,23515,36105,44224,21941,30875,39225,29271,36670,35198,43547,25605,45784,37426,28283,28838,47762,24366,35626,36320,31690,39695,35998,50320,40021,38390,33154,36910,25392,39147,36635,37648,36666,25795,40698,39940,33115,28208,43466,53655,32339,35041,36918,36045,33800,40274,39306,32301,38284,46545,44887,46737,46977,40692,52177,33469,38019,35251,31385,34441,36976,34832,26011,38716,34772,33541,35012,29035,32632,39215,49123,38324,27915,30574,35630,40693,27263,36042,46468,47560,26072,37076,28508,43884,35673,49297,41935,41131,46694,36046,43434,30238,30671
0,0,0,0,0,0,-30,0,23,0,0,-19,4,0,0,0,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,0,0,0,-25,0,0,0,0,0,0,0,0,-36,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,0,0,0,0,-8,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
-5,-50,25,-243,34,-67,15264,-35,-11461,17,-34,9695,-1953,23,19,44,60,15,-23,30,36,37,-44,-92,14666,20,-112,-30,-87,-44,30,3,-94,-106,-90,12464,19,13,0,62,23,-210,20,5,18100,6,-67,-2461,5,-12,1,-24,-280,22,-7,-8,9,-133,-17,-189,46,3,-127,-53,-93,21,25,32,10,-17,-36,-24,7,-48,9,-22,19,53,32,12955,-10,-6,-9,-47,4000,-154,76,-14808,46,12,34,-33,-107,35,-105,6,42,20,18,-3
43.412,92.667,45.883,24.535,70.34,58.412,59.574,34.397,31.17,64.286,83.595,45.953,102.06,58.97,55.81,108.34,38.894,113.89,73.26,78.773,54.457,102.89,35.175,38.839,100.64,68.768,23.265,53.789,51.228,45.898,50.47,138.8,56.075,41.744,33.74,64.02,97.026,57.745,135.9,116.46,79.542,28.857,83.529,111.3,32.214,51.956,45.957,73.169,53.39,51.561,29.508,90.608,56.682,79.823,41.315,102.77,56.596,37.327,99.208,49.105,61.431,92.621,37.848,35.6,45.432,116.09,100.6,114.13,91.232,64.563,31.586,60.727,121.76,61.569,70.709,50.216,93.214,85.89,49.278,54.071,116.05,65.86,55.419,38.5,72.708,30.917,31.985,55.157,90.622,61.382,72.302,79.643,40.263,70.667,133.38,86.962,119.87,85.529,64.946,57.767
28,29,17.5,20,24.5,54,42,16.5,21,23,51,32,60,31.5,22,28,24.5,72.5,16.5,38,26,48.5,25.5,31.5,35,36,20,21,31,31,24,33,37,30,22.5,42,49,32,24,32.5,17,24.5,29,35,27.5,42.5,27.5,42,19,30,19,44,35,44,26.5,28,29,22,30.5,37,35,60,31,25,37,55,46,34,23.5,36.5,18,37,35,26,32,37,30,20.5,22,32.5,27,24,41,23,31,25.5,29.5,26,41,18,32,61.5,27,25.5,45.5,46,79.5,41,30,35
