4448,4337,4427
1.7523,-2.4176,1.2906
47773,76986,43674
101,126,87
-6573,-970,-2152
2.0018e+05,3.8918e+05,3.3376e+05
73,15,-87
-39423,-9505,41522
1626.8,295.89,287.47
75,39,12
2437.8,746.94,723.86
0.49116,0.82246,0.85967
0.084596,0.38406,0.4316
0.025253,0.050725,0.027123
