4241,4172,4222
7.8837,16.56,17.577
7395,19304,14000
15,38,28
585,583,290
4.083e+05,4.0818e+05,4.1774e+05
-2,13,5
1573,-6073,-2210
145.44,135.51,85.21
26.5,35,9
320.34,255.95,376.48
0.94198,0.94681,0.99173
0,0,0
0.49488,0.49882,0.50118
