418,408,440,458,456,415,424,433,421,423,438,438,412,422,413,433,430,424,415,436,433,432,418,421,427,434,414,435,415,444,436,400,426,433,428,439,413,431,415,405,406,440,411,437,437,441,427,431,420,434,426,425,441,412,408,428,430,417,412,425,415,441,434,418,430,425,440,437,426,417,423,428,438,436,423,446,413,429,421,438,411,413,443,435,421,418,431,428,420,433,417,422,432,439,447,436,428,437,433,419
3.0594,-11.708,1.1658,-6.3678,1.4724,-8.1593,-1.1998,-1.7386,0.12446,-0.84367,-3.4978,-0.43626,5.522,9.9578,1.851,0.30362,-0.56331,-7.3385,-5.7829,6.4582,-3.5284,0.13221,5.0676,2.1296,7.0741,5.3407,0.42679,0.45564,-1.6344,3.2541,1.2868,5.0629,-0.49354,-1.7502,-4.3157,-1.2028,-2.9694,0.8975,-6.6361,4.6839,-7.5827,2.6598,0.024978,2.416,-10.677,-2.3217,-3.3243,0.21146,-5.1684,0.15633,4.5267,-1.7881,-0.59518,3.6658,0.51723,4.0052,0.85099,-1.8786,-1.1688,2.2399,1.8751,-0.066753,1.2519,-2.2386,-2.7976,1.8979,4.2717,-0.98579,-0.63695,4.2687,4.9173,1.1563,0.35487,-5.0784,2.2812,-0.50603,-8.9475,-3.7976,-0.57494,-2.4276,2.3816,0.11499,5.7076,1.6486,0.77993,-0.96469,-5.4479,-0.2963,-2.6533,0.21705,-1.6236,-2.711,0.40138,-5.5112,-2.581,0.45478,-3.5879,-3.1451,-4.0116,-1.2855
9595,6972,1976,2898,1012,3514,4940,6461,2994,4008,1004,4509,7154,5566,3984,9728,4410,5940,3018,5522,7968,7014,4168,7266,4136,5566,3556,4000,7098,5110,3584,4040,18685,4024,7395,5892,7154,9054,7056,3493,4464,6682,6669,3584,5401,10020,5401,9306,5544,5511,7112,4960,4500,4617,3528,3114,3500,3952,2952,3936,3605,4088,6874,11154,4016,5544,3535,5976,4563,5090,8551,9144,7515,4365,7984,1500,9980,6591,2495,4960,12024,11592,4080,11264,3156,5511,6012,6383,3542,3465,6617,3458,2545,10500,2012,4024,3514,2395,2465,9329
19,14,4,6,2,7,10,13,6,8,2,9,14,11,8,19,9,12,6,11,16,14,8,14,8,11,7,8,14,10,7,8,37,8,15,12,14,18,14,7,9,13,13,7,11,20,11,18,11,11,14,10,9,9,7,6,7,8,6,8,7,8,14,22,8,11,7,12,9,10,17,18,15,9,16,3,20,13,5,10,24,23,8,22,6,11,12,13,7,7,13,7,5,21,4,8,7,5,5,19
20,20,8,-4,-6,26,-16,11,32,32,-5,15,-7,-13,21,2,-44,10,0,45,-4,-17,-17,46,-8,-85,27,7,-36,-63,27,13,-25,-11,-33,2,-4,-9,-20,-7,28,2,19,7,1,-44,-2,-13,39,12,2,13,22,4,6,8,6,-15,30,3,2,-13,-45,-21,9,-28,-10,29,-23,15,10,-1,14,9,-17,-20,-60,-27,16,4,-27,-56,-59,-98,-70,4,11,14,-3,7,-9,-10,-10,-35,-22,13,-18,5,2,-39
42244,35794,24760,25304,12080,30114,20788,27721,37958,31062,9985,33947,33609,23227,29881,34906,23592,29696,28974,34147,27636,25109,21793,46604,19628,22273,39603,23965,26356,15283,33663,34361,55695,32949,25637,32508,28658,35257,33356,17987,36728,38890,42985,19375,27495,39120,28434,43523,39139,35104,28418,32781,34022,26582,25026,32132,35038,17833,39352,34401,24240,25373,31593,35419,33155,28066,20112,40637,29239,26361,40302,45587,40974,29983,35007,12814,37656,28237,27874,34720,35161,26218,16389,31688,20864,26946,31945,37240,11117,24769,37749,20746,18296,34253,6994,34253,25056,22135,21586,31561
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,4,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,0,0,0,0,0,0
20,20,8,-4,-6,26,-16,11,32,32,-5,15,-7,-13,21,3092,-44,10,0,45,-4,-17,-17,46,-8,-85,27,7,-36,-63,27,13,-25,-11,-33,2,1020,-9,-20,-1999,28,2,19,7,1961,-44,-2,-13,39,12,2,13,22,4,6,8,6,-3943,30,3,-3596,-13,-45,-21,9,-28,-10,29,-23,15,10,-1,14,9,-17,-20,-60,-27,16,4,-27,-56,-59,-98,-70,4,11,14,-3,7,-9,-10,-10,10465,-22,13,-18,5,2,-39
116.98,128.46,51.469,43.022,34.348,54.55,73.063,142.13,99.973,38.79,17.684,61.147,167.48,56.795,59.407,105.19,73.651,125.69,68.804,100.83,131.95,192.45,75.75,91.139,181.81,83.875,62.583,88.085,92.08,60.931,81.485,78.1,290.85,63.485,74.872,202.17,119.86,120.51,76.302,56.972,97.384,123.63,129.08,49.147,90.482,158.17,69.655,217.47,165.52,105.93,99.887,57.684,57.424,57.904,74.63,84.328,89.889,111.53,51.731,84.682,65.128,63.255,152.1,174.31,74.441,85.396,46.243,71.691,128.84,95.2,170.3,113.33,102.15,96.5,162.56,16.458,239.32,157.88,78.288,199.7,250.11,160.61,37.129,285.24,40.914,100.92,94.719,104.96,54.095,60.88,124.71,49,32.667,184.48,44.6,48.219,48.911,28.182,74.186,250.16
94,79,19,25,15,38,83,59,53,34,13,36.5,53.5,51,35,34,29,72,51,74,62,82,31,77,34,35.5,33,51,51,25,52,43,50,22,45,67,27,49,40,27.5,53,34.5,54,33.5,50,47.5,33,45.5,27,36,25,39,32,37,26.5,33,50,41.5,29.5,43.5,21,26,75,33,57,71.5,24,71,84,41,27,65,24,42.5,53,13.5,65.5,57,44.5,88,79.5,119,28,409,33,41,80,42,31,22.5,56,27,21,178,55.5,31,33,25.5,21,97
